"Please use the Compare Products Tab to compare items and Add Community Entries Tab to add items Please use Ctrl+Shift+V when pasting products. ","Product Name
 Total of 1046 items","Price
(USD)","Date Add/Update
(UTC, mm/dd/yyyy)","Notes","Last Accessed
(DO NOT EDIT)"
"","4x Coilovers Kits compatible for Honda Civic 2012-2015 Sedan Coupe 2012-2013 Adj. Damper","$371.00","8/9/2023","",""
"","50Lt Purple-Gw Ec Lock 5.5 in. Sp 23 ft. L Bulk","$19.76","8/10/2023","",""
"","50Lt Yellowith Gw Ec Lock 5.5 in. Sp 23 ft. L Bulk","$19.76","8/10/2023","",""
"","510 Design Ramsey Embroidered 8-Pc. Comforter Set, Queen - Neutral","$112.00","8/9/2023","",""
"","6 Packs Combination Drill &amp; Taps Bit Set, Screw Tapping In 6 Sizes Metric Thread M3 M4 M5 M6 M8 M10 With Nano Blue Coating Hex Shank","$13.99","8/8/2023","","08/09/2023"
"","60A 12/24/36/48V MPPT OLED Display Solar Charge Controller Regulator","$169.99","7/22/2023","","8/8/2023"
"","66"" Animated Talking Tree Standing Halloween Decoration","$69.99","8/4/2023","","8/5/2023"
"","6mm Ball Stud Fashion Earrings In 14K Yellow Gold","$75.00","8/8/2023","","8/10/2023"
"","7-Inch Touch Screen Android Tablet PC With Wireless Speaker","$74.00","8/5/2023","","8/8/2023"
"","7-Piece Pre-Seasoned Cast Iron Cookware Set","$129.99","8/7/2023","","8/8/2023"
"","A6 Binder Notebook, Marble Ring Binder With Clear Plastic Binder Covers, Budget Sheets, Label Stickers, Binder Bag Blue","$14.36","8/9/2023","",""
"","A6 PU Binder Cover With A6 Binder Pockets Expense Budget Sheets Sticker Labels For Money Saving Cash Envelopes Black","$14.20","8/9/2023","",""
"","Acer Aspire 3 15.6"" FHD Laptop, Intel Core I3-1115G4, 4GB Ddr4, 128Gb Nvme Ssd","$299.00","8/2/2023","","8/9/2023"
"","Acer Aspire 5 Slim Laptop, 15.6 Inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3","$356.78","8/5/2023","","8/9/2023"
"","Action ACT155 Pool Cue","$164.70","8/9/2023","",""
"","Active Argan Hydration Lockdown","$28.00","8/2/2023","","8/7/2023"
"","Adidas Adipower III Weightlifting Shoes - Silver Pebble / Core Black / Olive Strata - 10.0","$165.00","8/5/2023","","8/8/2023"
"","Adidas Argentina 2022-2023 3-Star Lionel Messi 10 Home Replica Jersey, Men's, Medium, Blue","$125.00","8/10/2023","",""
"","Adidas By Stella Mccartney Sportswear Cropped Hoodie HI6063 Women's Clothing Clear Onix : LG","$77.00","8/6/2023","","8/9/2023"
"","Adidas Men's Swift Run 1.0 Shoes","$89.99","8/8/2023","",""
"","Adidas Men's Traxion LITE MAX Wide Golf Shoes, Footwear White/Core Black/Vivid Red, 15","$48.17","7/27/2023","","8/7/2023"
"","Adidas Predator Freak .1 FG Firm Ground Soccer Cleat White/Metallic Iron/Solar Red - Size 9","$179.99","8/9/2023","",""
"","Adrianna Papell Petite Beaded Cap-Sleeve Midi Dress - Dusted Petal Lav","$329.00","8/7/2023","","8/9/2023"
"","Adrianna Papell Stretch Pearl Trimmed V-Neck Short Tulip Sleeve Gown, Womens, 12, Midnight","$199.00","8/8/2023","",""
"","Adrianna Papell Women's 3D Embellished Blouson Gown - Aqua Dust - Size 8","$123.99","8/7/2023","","8/9/2023"
"","Adrianna Papell Womens Embellished Illusion Cocktail And Party Dress - Pink - Size: US 8 (M)","$85.98","8/8/2023","","8/9/2023"
"","Advanced Elements Advance Elements Advancedframe Sport Inflatable Kayak Orange/Blue, Aluminium","$329.00","8/9/2023","",""
"","Afloia Air Purifiers For Home Large Room Up To 1076 Ft², Smart Wifi Voice Control H13 HEPA Air Purifiers For Bedroom, Air Purify Filter Cleaner For P","$119.99","8/11/2023","","8/11/2023"
"","Air Jordan 1 Mid SE Craft Men's Shoes in White, Size: 17 | DM9652-102","$108.97","8/4/2023","","8/9/2023"
"","Air Jordan 4 Retro - 308497 106","$215.00","8/6/2023","","8/8/2023"
"","Air Jordan 6 Retro Big Kids' Shoes In Red, Size: 4.5Y | 384665-600","$150.00","8/10/2023","",""
"","Air Purifiers For Home Large Room Up To 1076 Sq Ft With PM 2.5 Display Air Quality Sensor, MORENTO H13 True HEPA Filter Remove 99.97% Of Pet Hair","$129.99","8/2/2023","","8/5/2023"
"","Air Purifiers For Home Large Room: Welov Air Purifiers For Pets Allergy, 1077 Sq Ft Coverage, Auto Mode, Removes 99.97% Of Pet Hair Dander Pollen","$169.99","8/10/2023","",""
"","Aivituvin 33.7-In Extra Large Chicken Coop","$209.99","8/5/2023","","8/10/2023"
"","Aivituvin 42.1-In Two Story Indoor & Outdoor Rabbit Hutch","$169.99","7/22/2023","","8/5/2023"
"","Aivituvin-AIR69 Wooden Chicken Coop","$229.99","8/6/2023","","8/8/2023"
"","Alex Evenings Petite Sequin Jacket Dress - Royal","$229.00","7/22/2023","","8/5/2023"
"","Alex Evenings Rosette A-Line Gown - Navy","$269.00","7/29/2023","","8/5/2023"
"","Alex Evenings Textured Floral Burnout High/Low Dress With Jacket In Royal At Nordstrom, Size 14","$245.00","8/10/2023","",""
"","Alex Evenings Women's Embroidered-Bodice High-Low Gown - Navy Pink - Size 4","$209.00","8/10/2023","",""
"","Alex Evenings Women's Floral-Embroidered Jacket & Gown - Navy - Size 6","$239.00","8/10/2023","",""
"","Alexander Home Sophia Printed Botanical Vintage Area Rug","$142.49","8/8/2023","","8/9/2023"
"","Alice + Olivia CIARA STRAWBERRY EMBROIDERED PULLOVER Female SOFT WHITE COMBO L","$98.75","7/20/2023","","8/10/2023"
"","Alice + Olivia Macey Denim Fitted Blazer","$330.00","7/28/2023","","8/11/2023"
"","Alienware Gaming Keyboard & Mouse Bundle - AW420K & aw620m - DSOTM - 00001","$209.99","8/5/2023","","8/7/2023"
"","Alienware Tri-Mode Wireless Gaming Mouse - aw720m - XDWHY","$119.99","8/4/2023","","8/8/2023"
"","Alienware Wired Gaming Mouse - aw320m - PNDX2","$49.99","8/9/2023","",""
"","Allen + Roth Evelyn 5 X 8 Blue Indoor Geometric French Country Area Rug In White | 92102 70044 063094","$179.00","8/4/2023","","8/6/2023"
"","Allen + Roth Koralin 8 X 11 Red Indoor Floral/Botanical Oriental Area Rug | M005R17L","$344.31","8/8/2023","",""
"","Allen + Roth With STAINMASTER Multiscape 5 X 8 Cream Indoor Abstract Farmhouse/Cottage Area","$150.37","8/9/2023","","8/10/2023"
"","Allen + Roth With STAINMASTER Multiscape 8 X 10 Cream Indoor Abstract Farmhouse/Cottage Area Rug In Brown/Tan | 461213","$228.85","8/10/2023","",""
"","Alpine Grove Ornaments, Set Of 35 By Balsam Hill","$269.00","8/9/2023","","8/11/2023"
"","Amazon Fire 7 Kids Edition 16GB Tablet With 7-In. Display And Kid-Proof Case - 2022 Release,","$109.99","8/9/2023","","8/10/2023"
"","Amazon Fire HD 8 Plus Tablet, 8"" HD Display, 32 GB, 3GB RAM, 30% Faster Processor, And","$159.98","8/9/2023","","8/10/2023"
"","Amazon Fire TV Stick With Alexa Voice Remote Jailbroken Unlocked Fully Loaded","$74.95","7/31/2023","","8/11/2023"
"","Amer Care Royal RPPTR7313 3.13 in. X 20 ft. Heat Sensitive Register Rolls, White","$89.22","8/9/2023","",""
"","Amouage Mens Imitation EDP Spray 3.4 Oz (100 Ml)","$159.95","8/9/2023","",""
"","Amscope 15X-150X Magnification 300x70mm Focal Length Kids' Compact Refractor Telescope With Tripod","$59.99","7/25/2023","","8/8/2023"
"","Amulet 8X10 Light Gray Gray Abstract, Bohemian Area Rug","$118.00","8/8/2023","",""
"","Angelica Ruffle Chenille Bedspread, Cotton, Ivory, Full","$109.99","8/11/2023","",""
"","Animal Chip Write Code Machine","$27.60","8/10/2023","",""
"","Anita Oversized Reversible Quilt, Cotton/Polyester, Spice, Full/Queen (90"" W X 96"" L)","$89.99","8/6/2023","","8/9/2023"
"","Anjou Tile Ivory/Gray Shag Rug, 5' X 7'","$129.98","8/9/2023","",""
"","Anolon Advanced Home Hard-Anodized Nonstick Cookware Set, 11 Piece","$269.99","8/8/2023","",""
"","Antonio Melani Brynn Multi Floral Print Long Sleeve Tiered Hem A-Line Dress, Womens, 0, Multi Floral - Dillard's Exclusive","$119.40","7/30/2023","","8/11/2023"
"","Apple - 10.2-Inch iPad (9Th Generation) With Wi-Fi - 64GB - Space Gray","$329.99","8/6/2023","","8/9/2023"
"","Apple Magic Keyboard: iPad Keyboard Case For iPad Pro 11-Inch (1St, 2Nd, 3Rd, 4th","$249.99","8/2/2023","","8/5/2023"
"","Arcade1up - Ms. Pac-Man Head To Head Counter-Cade 2 Player","$169.99","8/10/2023","",""
"","Architectural Superstore Faux Stone Wall Panel - DURANGO, Grey, 36in X 48in Wall Panel","$179.00","8/9/2023","",""
"","Armani Beauty Ecstasy Mirror Lip Gloss","$27.00","8/8/2023","","8/11/2023"
"","Armani Beauty Ecstasy Mirror Lip Gloss, 101 Beyond, Women's, Makeup & Cosmetics Lip","$21.60","8/8/2023","","8/11/2023"
"","Armani Beauty Ecstasy Mirror Lip Gloss, 101 Beyond, Women's, Makeup & Cosmetics Lip Glosses","$27.00","8/9/2023","","8/11/2023"
"","Armocity L Shaped Gaming Desk With LED Lights & Power Strips, 63'' Reversible Gaming Table Desk With Hutch, L-Shaped PC Gaming Desk With Storage, L G","$229.99","7/28/2023","","8/6/2023"
"","Armored Core VI: Fires of Rubicon - PlayStation 5","$59.99","8/5/2023","","8/6/2023"
"","Art&Tuft Washable Rug, Anti-Slip Backing Abstract Area Rug 5x7, Stain Resistant Rugs for Living Room, Foldable Machine Washable Area Rug(TPR18-Navy, 5'x7')","$71.99","8/7/2023","","8/8/2023"
"","Art3d PVC Wave Panels For Interior Wall Decor, Wood Brown Textured 3D Wall Tiles19.7"" X 19.7"" (12-Pack)","$79.99","8/5/2023","","8/8/2023"
"","Artistic Weavers Irwin Contemporary Abstract Plush Area Rug","$40.84","8/10/2023","",""
"","Artistic Weavers Lari Plush Abstract Area Rug","$41.79","8/8/2023","","8/9/2023"
"","Artistic Weavers Nickie Plush Abstract Area Rug","$100.22","8/8/2023","",""
"","Artistic Weavers Tiffany Grey Bohemian Border Area Rug - 7'10"" X 10'3"" - Medium Grey","$201.44","8/1/2023","","8/9/2023"
"","As Seen On TV,Gotham Steel Gotham Steel Ocean Blue 10-Piece Aluminum Cookware Set","$129.79","8/5/2023","","8/10/2023"
"","As Seen On TV,Gotham Steel Gotham Steel Square Ceramic-Finish Cookware Set, Brown","$169.99","8/9/2023","","8/11/2023"
"","Asrock b660m Pro RS Intel B660 Series CPU (LGA1700) Compatible b660m Microatx","$109.99","8/2/2023","","8/5/2023"
"","Asrock X570 TAICHI RAZER Edition AM4 ATX AMD Motherboard","$235.99","8/6/2023","","8/6/2023"
"","Assassin's Creed Mirage Standard Edition - Xbox One, Xbox Series X","$49.99","8/4/2023","","8/8/2023"
"","ASUS ROG STRIX 1000W Gold PSU, Power Supply (ROG Heatsinks, Axial-Tech Fan","$169.99","8/10/2023","",""
"","ASUS ROG STRIX B450-F GAMING AM4 ATX AMD Motherboard","$210.00","7/27/2023","","8/10/2023"
"","Athleta Women's Advantage Polo Top Size XXS","$64.99","8/8/2023","",""
"","Atomic Mass Games Star Wars Legion Blizzard Force Expansion | Two Player Miniatures Battle Game Strategy for Adults and Teens Ages 14+ Average","$119.99","8/9/2023","",""
"","Aurora 7X10 Stone Gray Gray Abstract Area Rug","$169.00","8/7/2023","","8/10/2023"
"","Autumn Mermaid V Neck Short Sleeve Sequined Velour Party Gowns","$60.10","8/10/2023","",""
"","AVID ERA 95-321W Natural 4-Point Pool Cue - Linen Wrap","$259.00","8/8/2023","",""
"","Ayesha Curry Home Collection 12-Piece Aluminum Nonstick Cookware","$232.99","8/9/2023","",""
"","Bagboy Nitron Golf Push Cart","$279.95","8/3/2023","","8/5/2023"
"","Banggood 100W Solar Panel Kit 12V Battery Charger 10-100A LCD Controller For Caravan Van Boat","$29.85","8/6/2023","","8/9/2023"
"","BCG Women's High-Waisted Tennis Skort Pink Light, Medium - Women's Athletic Performance Bottoms At Academy Sports","$24.99","8/11/2023","",""
"","Becky Cameron Premium Moonlight Stars Reversible Comforter Set - Twin - Twin XL","$42.49","8/10/2023","","8/11/2023"
"","Bella Depot Low Profile Fans 19-In Coffee Color-Changing LED Indoor Flush Mount Smart Fandelier Ceiling Fan With Light Remote (7-Blade) | DC2013-K","$179.00","8/9/2023","","8/9/2023"
"","Bella Luce 2.72ctw Pink Lab Created Sapphire, Pink, And White Cubic Zirconia 18K Rose Gold Over Silver Ring 2.72ctw","$24.99","8/4/2023","","8/6/2023"
"","Benedict Cumberbatch Reads Sherlock Holmes' Rediscovered Railway Mysteries - Audiobook By John Taylor","$11.49","8/9/2023","",""
"","Benjy 7'10"" X 10' Area Rug - Hauteloom","$249.00","8/8/2023","","8/9/2023"
"","Best Choice Products 39in Full Size Beginner Electric Guitar Starter Kit W/Case, Strap, 10W Amp, Strings, Pick, Tremolo Bar - Jet Black","$139.99","8/9/2023","",""
"","Best Choice Products Semi-Hollow Body Electric Guitar Set W/Dual Humbucker Pickups, 3-Way Pickup Selector, Case, Electronic Tuner, Capo, Strap, Picks","$159.99","8/8/2023","","8/9/2023"
"","Bestpet 3-Tier 67 Inch Cat Cage Cat Crate Cat Kennel Cat Playpen With Free Hammock 3 Cat Bed 3 Front Doors 2 Ramp Ladders Perching Shelves (Black)","$112.99","8/10/2023","",""
"","Bestway Hydro-Force Tropical Breeze 6 Person Inflatable Party Island Water Float Lounger With 6 Cupholders, Backrests, And Detachable Sun Shade","$200.00","8/10/2023","",""
"","Betsy & Adam B&A by Betsy & Adam Plus Size Sequined-Lace Ruched Gown - Charcoal Gray","$169.00","8/9/2023","",""
"","Betsy & Adam Glitter Drape-Back Cape Gown - Blush/Gold","$299.00","8/10/2023","",""
"","Betsy & Adam Petite Short Sleeve Mesh Gown - Navy/Silver","$189.00","8/10/2023","",""
"","Betsy & Adam V-Neck Cascade Ruffle High-Low Gown In Navy At Nordstrom, Size 8","$249.00","8/9/2023","",""
"","Betsy & Adam Women's Ruched Cape Sheath Dress - Navy","$103.99","8/10/2023","",""
"","Betsy & Adam Women's Ruffled Tulip-Hem Sheath Dress - Night","$239.00","7/27/2023","","8/10/2023"
"","Betsy Adam Round Neck Sleeveless Ruffle High-Low Stretch Crepe Gown, Womens, 4, Red","$268.00","8/10/2023","",""
"","Betsy Adam Stretch V-Neck Sleeveless Cape Back Midi Sheath Mother Of The Bride Dress, Womens, 6, Navy","$208.00","8/8/2023","",""
"","Better Trends Ashton Chenille Bedspread | Green | Full | Bedding Bedspreads","$112.70","8/7/2023","","8/11/2023"
"","Better Trends Bloomfield Floral Tufted Chenille Cotton Bedspread","$85.98","8/11/2023","",""
"","BISSELL Bissell Symphony™ Plus All-In-One Vac And Steam Mop With Accessories - Green","$149.99","8/2/2023","","8/11/2023"
"","Bissell Symphony™ Plus All-in-One Vac and Steam Mop with Accessories","$149.99","8/1/2023","","8/11/2023"
"","Black Matte PS5 Aim Controller Pro","$224.00","8/10/2023","",""
"","Black Mother-Of-Pearl Rhodium Over Silver Enhancer With 20"" Cord","$84.14","8/10/2023","","8/11/2023"
"","BLACK+DECKER 20V MAX Cordless Battery Powered 3-In-1 String Trimmer, Lawn Edger & Lawn Mower Kit With (2) 2Ah Batteries & Charger","$162.42","8/1/2023","","8/10/2023"
"","BLACK+DECKER Electric Lawn Mower, 12-Amp, 17-Inch (BEMW482BH)","$173.30","8/8/2023","",""
"","BLACK+DECKER Electric Lawn Mower, 13-Amp, Corded (BEMW213)","$219.99","8/1/2023","Not in list yet","8/8/2023"
"","Blackstone 8022491 Griddle Stand - Black","$119.47","8/4/2023","","8/6/2023"
"","Blackstone Flat Top Gas Grill Griddle 2 Burner Propane Fuelled Rear Grease Management System, 1517, Outdoor Griddle Station For Camping, 28 Inch","$218.00","8/10/2023","Game:218.00 MSN:269.00",""
"","Bluetooth Wireless Pro Controller Rechargeable Gamepad For Nintendo Switch A++++","$30.06","8/8/2023","",""
"","Bohemia Floral With Plush Hood Accessories COFFEE-FREE SIZE","$15.99","8/2/2023","","8/11/2023"
"","Boho Area Rug 5X7 Feet Modern Area Rug Neutral Carpet For Bedroom Decor, Livingroom Decoration Ideas, Play Room","$67.99","8/10/2023","",""
"","Bosca Men's Double I.D. Trifold In Old Leather - RFID","$123.25","8/9/2023","",""
"","Botanical Border Quilt Collection Multi, Cotton | L.L.Bean","$209.00","8/11/2023","",""
"","BougeRV 9BB Cell 200 Watts Mono Solar Panel,22.8% High Efficiency Module Monocrystalline Technology Work with 12 Volts Charger for RV Camping Home Bo","$175.99","7/28/2023","","8/9/2023"
"","Box Partners G26026 4.75 X 2.38 in. Green Self-Laminating Tags - Case Of 100","$74.60","8/9/2023","",""
"","Box Partners G26027 4.75 X 2.38 in. White Self-Laminating Tags - Case Of 100","$97.86","8/9/2023","",""
"","Boys Nike Air Max Plus - Boys' Grade School Running Shoe Purple/White Size 04.0","$119.99","8/10/2023","",""
"","Boytone BT25PW-OPEN BOX Turntable With Bluetooth Connection","$60.02","8/10/2023","",""
"","Breathable Non Slip Wearable Sports Shoes Gym Training Athletic Basketball","$54.62","8/7/2023","","8/11/2023"
"","Brewster Home Fashions Fae Woodland Wallpaper, Grey - Size: One Size","$37.49","8/11/2023","",""
"","Broyhill - Blue Textured Stripe Square Throw Pillow","$20.00","8/10/2023","",""
"","Build Your Tote, Camel Leather","$179.99","8/6/2023","","8/7/2023"
"","Build-A-Bear Oh So Lovely Bear In Multi Pastel, 10 Inch By Build-A-Bear","$16.00","8/3/2023","","8/11/2023"
"","Business Source BSN42585 Stacking Tray- Side Load- Letter- Black","$18.71","8/9/2023","",""
"","Cafe 8X10 Multi Abstract, Geometric Area Rug","$125.00","8/9/2023","",""
"","Cafe 9X12 Multi Abstract, Geometric Large Area Rug","$162.00","8/10/2023","",""
"","Callaway JAWS Raw Chrome Custom Wedge","$179.99","8/10/2023","",""
"","Callaway Women's Steelhead XR Hybrid","$149.99","8/8/2023","",""
"","Calvin Klein Plus Size Illusion Bell-Sleeve Dress - Indigo","$89.99","8/8/2023","","8/9/2023"
"","Calvin Klein Striped Print Ribbed Knit Split V-Neck Short Sleeve Tee, Womens, M, Black/Soft White","$26.70","8/9/2023","",""
"","Camden Classic Fitted Bedspread, Full 21"" Drop, Chocolate","$239.00","8/10/2023","",""
"","Candlewick Butterfly Comforter , Twin , Multi","$169.00","8/8/2023","",""
"","Canon P23-DHV-3 Printing Calculator With Double Check Function, Tax Calculation And Currency Conversion","$38.99","8/8/2023","",""
"","Canon Pixma Ts3522 All-In-One Wireless Inkjet Printer With Print, Copy And Scan Features","$49.00","8/4/2023","","8/9/2023"
"","Caraway Home 9pc Non-Stick Ceramic Cookware Set","$395.00","8/7/2023","","8/7/2023"
"","Caribsea | Arches Liferock Dry Live Rock - Caribsea","$146.06","7/31/2023","","8/9/2023"
"","Carolines Treasures SS8153PILLOWCASE 20.5 X 30 in. Papillon Moisture Wicking Fabric Standard Pillowcase","$22.24","8/10/2023","",""
"","Casemaster 51-0400-12 Parallax Cue Case, Pink","$41.20","8/7/2023","","8/10/2023"
"","Cat Tower 34Inch With Double Condos, Spacious Perch, Scratching Sisal Posts And Replaceable Dangling Balls Beige","$66.50","8/10/2023","",""
"","Cece Women's Babydoll Short-Sleeve Dress - Rich Black - Size S","$89.00","8/8/2023","",""
"","Cell Phone Signal Booster, Home Cell Phone Booster, Support All U.S. Carriers Verizon, AT&T & More, Signal","$197.00","8/10/2023","",""
"","Centurion Classic Beige Rug In Beige By Rugs America","$41.97","8/9/2023","",""
"","Charter Club Kids Jungle Comforter Sets Created For Macys","$60.75","8/4/2023","","8/11/2023"
"","Charter Club Mirabel Quilt, Full/Queen, Created For Macy's - Multi Combo","$90.00","8/11/2023","",""
"","Chef Tested 50-Piece Mega Kitchen Set By Wards, Red","$159.99","8/9/2023","",""
"","Chico's Women's Activewear UPF Floral Golf Skort, Botanic Berry, Size S By Chico's Zenergy UPF Neema Floral Skort","$39.99","7/25/2023","","8/5/2023"
"","CHINS Bluetooth LiFePO4 Battery Smart 12V 100AH Lithium Battery Support Low Temperature Charging (-4°F/-20°C), Built-in 100A BMS, 2000+ Cycles,","$379.99","8/9/2023","",""
"","Chopard Mens Oud Malaki EDP Spray 2.7 Oz Fragrances 7640177360083","$54.24","8/11/2023","",""
"","Christian Dior 20093087 3.4 Oz Dior Sauvage EDT Spray For Men, New","$106.68","8/9/2023","",""
"","Christian Dior Homme Intense Cologne 3.4 Oz Eau De Parfum Spray","$199.97","8/9/2023","","8/10/2023"
"","Christian Dior Men's 3-Pc. Sauvage Parfum Limited-Edition Gift Set","$230.00","8/8/2023","",""
"","Christian Dior Sauvage Eau de Toilette Refill, 10 oz.","$235.00","7/27/2023","","8/8/2023"
"","CHUWI 2023 UBook X Tablet, 12'' Touchscreen, Intel Core i5-10210Y, Windows 11 Tablet, 8GB RAM 256GB ROM, 1TB SSD Expend, 2160x1440 IPS, 2.4G/5G WiFi, Dual Camera, 5000mAh, HDMI, USB 3.0, BT 5.0","$349.99","8/10/2023","",""
"","Clark Shag Area Rug, 8X10, Gray/Tan, 8X10 , Polyester | Kirkland's Home","$337.49","8/10/2023","",""
"","Classic Accessories 62-024-HGREY-EC Montlake Fadesafe","$61.58","8/10/2023","",""
"","Classic Accessories 62-024-INDIGO-EC Montlake Fadesafe","$59.82","8/10/2023","",""
